,database_code,domain_name,database_group,language_code,language_name,status,visibility,editability,english_name,git_created_dt,git_closed_dt
234,ffwiki,ff.wikipedia.org,wikipedia,ff,Fula,open,public,public,Fulah Wikipedia,2012-02-24,
235,fiu_vrowiki,fiu-vro.wikipedia.org,wikipedia,fiu-vro,Võro,open,public,public,Võro Wikipedia,2012-02-24,
236,fiwiki,fi.wikipedia.org,wikipedia,fi,Finnish,open,public,public,Finnish Wikipedia,2012-02-24,
237,fiwikibooks,fi.wikibooks.org,wikibooks,fi,Finnish,open,public,public,Finnish Wikibooks,2012-02-24,
238,fiwikinews,fi.wikinews.org,wikinews,fi,Finnish,open,public,public,Finnish Wikinews,2012-05-08,
239,fiwikiquote,fi.wikiquote.org,wikiquote,fi,Finnish,open,public,public,Finnish Wikiquote,2012-02-24,
240,fiwikisource,fi.wikisource.org,wikisource,fi,Finnish,open,public,public,Finnish Wikisource,2012-02-24,
241,fiwikiversity,fi.wikiversity.org,wikiversity,fi,Finnish,open,public,public,Finnish Wikiversity,2012-05-08,
242,fiwikivoyage,fi.wikivoyage.org,wikivoyage,fi,Finnish,open,public,public,Finnish Wikivoyage,2016-11-27,
243,fiwiktionary,fi.wiktionary.org,wiktionary,fi,Finnish,open,public,public,Finnish Wiktionary,2012-02-24,
244,fjwiki,fj.wikipedia.org,wikipedia,fj,Fijian,open,public,public,Fijian Wikipedia,2012-02-24,
245,fjwiktionary,fj.wiktionary.org,wiktionary,fj,Fijian,open,public,public,Fijian Wiktionary,2012-02-24,
246,fowiki,fo.wikipedia.org,wikipedia,fo,Faroese,open,public,public,Faroese Wikipedia,2012-02-24,
247,fowikisource,fo.wikisource.org,wikisource,fo,Faroese,open,public,public,Faroese Wikisource,2012-02-24,
248,fowiktionary,fo.wiktionary.org,wiktionary,fo,Faroese,open,public,public,Faroese Wiktionary,2012-02-24,
249,frpwiki,frp.wikipedia.org,wikipedia,frp,Arpitan,open,public,public,Arpitan Wikipedia,2012-02-24,
250,frrwiki,frr.wikipedia.org,wikipedia,frr,Northern Frisian,open,public,public,Northern Frisian Wikipedia,2012-05-08,
251,frwiki,fr.wikipedia.org,wikipedia,fr,French,open,public,public,French Wikipedia,2012-02-24,
252,frwikibooks,fr.wikibooks.org,wikibooks,fr,French,open,public,public,French Wikibooks,2012-02-24,
253,frwikinews,fr.wikinews.org,wikinews,fr,French,open,public,public,French Wikinews,2012-02-24,
254,frwikiquote,fr.wikiquote.org,wikiquote,fr,French,open,public,public,French Wikiquote,2012-02-24,
255,frwikisource,fr.wikisource.org,wikisource,fr,French,open,public,public,French Wikisource,2012-02-24,
256,frwikiversity,fr.wikiversity.org,wikiversity,fr,French,open,public,public,French Wikiversity,2012-02-24,
257,frwikivoyage,fr.wikivoyage.org,wikivoyage,fr,French,open,public,public,French Wikivoyage,2012-11-06,
258,frwiktionary,fr.wiktionary.org,wiktionary,fr,French,open,public,public,French Wiktionary,2012-02-24,
259,furwiki,fur.wikipedia.org,wikipedia,fur,Friulian,open,public,public,Friulian Wikipedia,2012-02-24,
260,fywiki,fy.wikipedia.org,wikipedia,fy,Western Frisian,open,public,public,Western Frisian Wikipedia,2012-02-24,
261,fywikibooks,fy.wikibooks.org,wikibooks,fy,Western Frisian,open,public,public,Western Frisian Wikibooks,2012-02-24,
262,fywiktionary,fy.wiktionary.org,wiktionary,fy,Western Frisian,open,public,public,Western Frisian Wiktionary,2012-02-24,
263,gagwiki,gag.wikipedia.org,wikipedia,gag,Gagauz,open,public,public,Gagauz Wikipedia,2012-05-08,
264,ganwiki,gan.wikipedia.org,wikipedia,gan,Gan Chinese,open,public,public,Gan Chinese Wikipedia,2012-05-08,
265,gawiki,ga.wikipedia.org,wikipedia,ga,Irish,open,public,public,Irish Wikipedia,2012-02-24,
266,gawikibooks,ga.wikibooks.org,wikibooks,ga,Irish,closed,public,public,Irish Wikibooks,2012-02-24,2012-02-24
267,gawikiquote,ga.wikiquote.org,wikiquote,ga,Irish,closed,public,public,Irish Wikiquote,2012-02-24,2012-02-24
268,gawiktionary,ga.wiktionary.org,wiktionary,ga,Irish,open,public,public,Irish Wiktionary,2012-02-24,
269,gcrwiki,gcr.wikipedia.org,wikipedia,gcr,Guianan Creole,open,public,public,Guianan Creole Wikipedia,2019-11-20,
270,gdwiki,gd.wikipedia.org,wikipedia,gd,Scottish Gaelic,open,public,public,Scottish Gaelic Wikipedia,2012-02-24,
271,gdwiktionary,gd.wiktionary.org,wiktionary,gd,Scottish Gaelic,open,public,public,Scottish Gaelic Wiktionary,2012-02-24,
272,glkwiki,glk.wikipedia.org,wikipedia,glk,Gilaki,open,public,public,Gilaki Wikipedia,2012-02-24,
273,glwiki,gl.wikipedia.org,wikipedia,gl,Galician,open,public,public,Galician Wikipedia,2012-02-24,
274,glwikibooks,gl.wikibooks.org,wikibooks,gl,Galician,open,public,public,Galician Wikibooks,2012-02-24,
275,glwikiquote,gl.wikiquote.org,wikiquote,gl,Galician,open,public,public,Galician Wikiquote,2012-02-24,
276,glwikisource,gl.wikisource.org,wikisource,gl,Galician,open,public,public,Galician Wikisource,2012-02-24,
277,glwiktionary,gl.wiktionary.org,wiktionary,gl,Galician,open,public,public,Galician Wiktionary,2012-02-24,
278,gnwiki,gn.wikipedia.org,wikipedia,gn,Guarani,open,public,public,Guarani Wikipedia,2012-02-24,
279,gnwikibooks,gn.wikibooks.org,wikibooks,gn,Guarani,closed,public,public,Guarani Wikibooks,2012-02-24,2012-02-24
280,gnwiktionary,gn.wiktionary.org,wiktionary,gn,Guarani,open,public,public,Guarani Wiktionary,2012-02-24,
281,gomwiki,gom.wikipedia.org,wikipedia,gom,Goan Konkani,open,public,public,Goan Konkani Wikipedia,2015-04-24,
282,gomwiktionary,gom.wiktionary.org,wiktionary,gom,Goan Konkani,open,public,public,Goan Konkani Wiktionary,2020-04-20,
283,gorwiki,gor.wikipedia.org,wikipedia,gor,Gorontalo,open,public,public,Gorontalo Wikipedia,2018-03-07,
284,gorwiktionary,gor.wiktionary.org,wiktionary,gor,Gorontalo,open,public,public,Gorontalo Wiktionary,2023-01-04,
285,gotwiki,got.wikipedia.org,wikipedia,got,Gothic,open,public,public,Gothic Wikipedia,2012-02-24,
286,gotwikibooks,got.wikibooks.org,wikibooks,got,Gothic,closed,public,public,Gothic Wikibooks,2012-02-24,2012-02-24
287,gucwiki,guc.wikipedia.org,wikipedia,guc,Wayuu,open,public,public,Wayuu Wikipedia,2023-02-27,
288,gurwiki,gur.wikipedia.org,wikipedia,gur,Frafra,open,public,public,Farefare Wikipedia,2023-02-27,
289,guwiki,gu.wikipedia.org,wikipedia,gu,Gujarati,open,public,public,Gujarati Wikipedia,2012-02-24,
290,guwikibooks,gu.wikibooks.org,wikibooks,gu,Gujarati,closed,public,public,Gujarati Wikibooks,2012-02-24,2012-02-24
291,guwikiquote,gu.wikiquote.org,wikiquote,gu,Gujarati,open,public,public,Gujarati Wikiquote,2012-02-24,
292,guwikisource,gu.wikisource.org,wikisource,gu,Gujarati,open,public,public,Gujarati Wikisource,2012-05-08,
293,guwiktionary,gu.wiktionary.org,wiktionary,gu,Gujarati,open,public,public,Gujarati Wiktionary,2012-02-24,
294,guwwiki,guw.wikipedia.org,wikipedia,guw,Gun,open,public,public,Gun Wikipedia,2022-03-17,
295,guwwikiquote,guw.wikiquote.org,wikiquote,guw,Gun,open,public,public,Gun Wikiquote,2023-01-04,
296,guwwiktionary,guw.wiktionary.org,wiktionary,guw,Gun,open,public,public,Gun Wiktionary,2022-07-19,
297,gvwiki,gv.wikipedia.org,wikipedia,gv,Manx,open,public,public,Manx Wikipedia,2012-02-24,
298,gvwiktionary,gv.wiktionary.org,wiktionary,gv,Manx,open,public,public,Manx Wiktionary,2012-02-24,
299,hakwiki,hak.wikipedia.org,wikipedia,hak,Hakka Chinese,open,public,public,Hakka Chinese Wikipedia,2012-05-08,
300,hawiki,ha.wikipedia.org,wikipedia,ha,Hausa,open,public,public,Hausa Wikipedia,2012-02-24,
301,hawiktionary,ha.wiktionary.org,wiktionary,ha,Hausa,open,public,public,Hausa Wiktionary,2012-02-24,
302,hawwiki,haw.wikipedia.org,wikipedia,haw,Hawaiian,open,public,public,Hawaiian Wikipedia,2012-02-24,
303,hewiki,he.wikipedia.org,wikipedia,he,Hebrew,open,public,public,Hebrew Wikipedia,2012-02-24,
304,hewikibooks,he.wikibooks.org,wikibooks,he,Hebrew,open,public,public,Hebrew Wikibooks,2012-02-24,
305,hewikinews,he.wikinews.org,wikinews,he,Hebrew,open,public,public,Hebrew Wikinews,2012-02-24,
306,hewikiquote,he.wikiquote.org,wikiquote,he,Hebrew,open,public,public,Hebrew Wikiquote,2012-02-24,
307,hewikisource,he.wikisource.org,wikisource,he,Hebrew,open,public,public,Hebrew Wikisource,2012-02-24,
308,hewikivoyage,he.wikivoyage.org,wikivoyage,he,Hebrew,open,public,public,Hebrew Wikivoyage,2013-03-27,
309,hewiktionary,he.wiktionary.org,wiktionary,he,Hebrew,open,public,public,Hebrew Wiktionary,2012-02-24,
310,hifwiki,hif.wikipedia.org,wikipedia,hif,Fiji Hindi,open,public,public,Fiji Hindi Wikipedia,2012-05-08,
311,hifwiktionary,hif.wiktionary.org,wiktionary,hif,Fiji Hindi,open,public,public,Fiji Hindi Wiktionary,2017-08-20,
312,hiwiki,hi.wikipedia.org,wikipedia,hi,Hindi,open,public,public,Hindi Wikipedia,2012-02-24,
313,hiwikibooks,hi.wikibooks.org,wikibooks,hi,Hindi,open,public,public,Hindi Wikibooks,2012-02-24,
314,hiwikiquote,hi.wikiquote.org,wikiquote,hi,Hindi,open,public,public,Hindi Wikiquote,2017-08-29,
315,hiwikisource,hi.wikisource.org,wikisource,hi,Hindi,open,public,public,Hindi Wikisource,2019-03-22,
316,hiwikiversity,hi.wikiversity.org,wikiversity,hi,Hindi,open,public,public,Hindi Wikiversity,2017-07-31,
317,hiwikivoyage,hi.wikivoyage.org,wikivoyage,hi,Hindi,open,public,public,Hindi Wikivoyage,2017-08-10,
318,hiwiktionary,hi.wiktionary.org,wiktionary,hi,Hindi,open,public,public,Hindi Wiktionary,2012-02-24,
319,howiki,ho.wikipedia.org,wikipedia,ho,Hiri Motu,closed,public,public,Hiri Motu Wikipedia,2012-02-24,2012-02-24
320,hrwiki,hr.wikipedia.org,wikipedia,hr,Croatian,open,public,public,Croatian Wikipedia,2012-02-24,
321,hrwikibooks,hr.wikibooks.org,wikibooks,hr,Croatian,open,public,public,Croatian Wikibooks,2012-02-24,
322,hrwikiquote,hr.wikiquote.org,wikiquote,hr,Croatian,open,public,public,Croatian Wikiquote,2012-02-24,
323,hrwikisource,hr.wikisource.org,wikisource,hr,Croatian,open,public,public,Croatian Wikisource,2012-02-24,
324,hrwiktionary,hr.wiktionary.org,wiktionary,hr,Croatian,open,public,public,Croatian Wiktionary,2012-02-24,
325,hsbwiki,hsb.wikipedia.org,wikipedia,hsb,Upper Sorbian,open,public,public,Upper Sorbian Wikipedia,2012-02-24,
326,hsbwiktionary,hsb.wiktionary.org,wiktionary,hsb,Upper Sorbian,open,public,public,Upper Sorbian Wiktionary,2012-05-08,
327,htwiki,ht.wikipedia.org,wikipedia,ht,Haitian Creole,open,public,public,Haitian Creole Wikipedia,2012-02-24,
328,htwikisource,ht.wikisource.org,wikisource,ht,Haitian Creole,closed,public,public,Haitian Creole Wikisource,2012-02-24,2012-02-24
329,huwiki,hu.wikipedia.org,wikipedia,hu,Hungarian,open,public,public,Hungarian Wikipedia,2012-02-24,
330,huwikibooks,hu.wikibooks.org,wikibooks,hu,Hungarian,open,public,public,Hungarian Wikibooks,2012-02-24,
331,huwikinews,hu.wikinews.org,wikinews,hu,Hungarian,closed,public,public,Hungarian Wikinews,2012-05-08,2012-02-24
332,huwikiquote,hu.wikiquote.org,wikiquote,hu,Hungarian,open,public,public,Hungarian Wikiquote,2012-02-24,
333,huwikisource,hu.wikisource.org,wikisource,hu,Hungarian,open,public,public,Hungarian Wikisource,2012-02-24,
334,huwiktionary,hu.wiktionary.org,wiktionary,hu,Hungarian,open,public,public,Hungarian Wiktionary,2012-02-24,
335,hywiki,hy.wikipedia.org,wikipedia,hy,Armenian,open,public,public,Armenian Wikipedia,2012-02-24,
336,hywikibooks,hy.wikibooks.org,wikibooks,hy,Armenian,open,public,public,Armenian Wikibooks,2012-02-24,
337,hywikiquote,hy.wikiquote.org,wikiquote,hy,Armenian,open,public,public,Armenian Wikiquote,2012-02-24,
338,hywikisource,hy.wikisource.org,wikisource,hy,Armenian,open,public,public,Armenian Wikisource,2012-05-08,
339,hywiktionary,hy.wiktionary.org,wiktionary,hy,Armenian,open,public,public,Armenian Wiktionary,2012-02-24,
340,hywwiki,hyw.wikipedia.org,wikipedia,hyw,Western Armenian,open,public,public,Western Armenian Wikipedia,2019-03-30,
341,hzwiki,hz.wikipedia.org,wikipedia,hz,Herero,closed,public,public,Herero Wikipedia,2012-02-24,2012-02-24
342,iawiki,ia.wikipedia.org,wikipedia,ia,Interlingua,open,public,public,Interlingua Wikipedia,2012-02-24,
343,iawikibooks,ia.wikibooks.org,wikibooks,ia,Interlingua,open,public,public,Interlingua Wikibooks,2012-02-24,
344,iawiktionary,ia.wiktionary.org,wiktionary,ia,Interlingua,open,public,public,Interlingua Wiktionary,2012-02-24,
345,idwiki,id.wikipedia.org,wikipedia,id,Indonesian,open,public,public,Indonesian Wikipedia,2012-02-24,
346,idwikibooks,id.wikibooks.org,wikibooks,id,Indonesian,open,public,public,Indonesian Wikibooks,2012-02-24,
347,idwikiquote,id.wikiquote.org,wikiquote,id,Indonesian,open,public,public,Indonesian Wikiquote,2012-02-24,
348,idwikisource,id.wikisource.org,wikisource,id,Indonesian,open,public,public,Indonesian Wikisource,2012-02-24,
349,idwiktionary,id.wiktionary.org,wiktionary,id,Indonesian,open,public,public,Indonesian Wiktionary,2012-02-24,
350,iewiki,ie.wikipedia.org,wikipedia,ie,Interlingue,open,public,public,Interlingue Wikipedia,2012-02-24,
351,iewikibooks,ie.wikibooks.org,wikibooks,ie,Interlingue,closed,public,public,Interlingue Wikibooks,2012-02-24,2014-12-17
352,iewiktionary,ie.wiktionary.org,wiktionary,ie,Interlingue,open,public,public,Interlingue Wiktionary,2012-02-24,
353,igwiki,ig.wikipedia.org,wikipedia,ig,Igbo,open,public,public,Igbo Wikipedia,2012-02-24,
354,igwikiquote,ig.wikiquote.org,wikiquote,ig,Igbo,open,public,public,Igbo Wikiquote,2022-10-10,
355,igwiktionary,ig.wiktionary.org,wiktionary,ig,Igbo,open,public,public,Igbo Wiktionary,2022-10-10,
356,iiwiki,ii.wikipedia.org,wikipedia,ii,Sichuan Yi,closed,public,public,Sichuan Yi Wikipedia,2012-02-24,2012-02-24
357,ikwiki,ik.wikipedia.org,wikipedia,ik,Inupiaq,open,public,public,Inupiaq Wikipedia,2012-02-24,
358,ikwiktionary,ik.wiktionary.org,wiktionary,ik,Inupiaq,closed,public,public,Inupiaq Wiktionary,2012-02-24,2013-01-09
359,ilowiki,ilo.wikipedia.org,wikipedia,ilo,Iloko,open,public,public,Iloko Wikipedia,2012-02-24,
360,inhwiki,inh.wikipedia.org,wikipedia,inh,Ingush,open,public,public,Ingush Wikipedia,2018-01-07,
361,iowiki,io.wikipedia.org,wikipedia,io,Ido,open,public,public,Ido Wikipedia,2012-02-24,
362,iowiktionary,io.wiktionary.org,wiktionary,io,Ido,open,public,public,Ido Wiktionary,2012-02-24,
363,iswiki,is.wikipedia.org,wikipedia,is,Icelandic,open,public,public,Icelandic Wikipedia,2012-02-24,
364,iswikibooks,is.wikibooks.org,wikibooks,is,Icelandic,open,public,public,Icelandic Wikibooks,2012-02-24,
365,iswikiquote,is.wikiquote.org,wikiquote,is,Icelandic,open,public,public,Icelandic Wikiquote,2012-02-24,
366,iswikisource,is.wikisource.org,wikisource,is,Icelandic,open,public,public,Icelandic Wikisource,2012-02-24,
367,iswiktionary,is.wiktionary.org,wiktionary,is,Icelandic,open,public,public,Icelandic Wiktionary,2012-02-24,
368,itwiki,it.wikipedia.org,wikipedia,it,Italian,open,public,public,Italian Wikipedia,2012-02-24,
369,itwikibooks,it.wikibooks.org,wikibooks,it,Italian,open,public,public,Italian Wikibooks,2012-02-24,
370,itwikinews,it.wikinews.org,wikinews,it,Italian,open,public,public,Italian Wikinews,2012-02-24,
371,itwikiquote,it.wikiquote.org,wikiquote,it,Italian,open,public,public,Italian Wikiquote,2012-02-24,
372,itwikisource,it.wikisource.org,wikisource,it,Italian,open,public,public,Italian Wikisource,2012-02-24,
373,itwikiversity,it.wikiversity.org,wikiversity,it,Italian,open,public,public,Italian Wikiversity,2012-05-08,
374,itwikivoyage,it.wikivoyage.org,wikivoyage,it,Italian,open,public,public,Italian Wikivoyage,2012-11-06,
375,itwiktionary,it.wiktionary.org,wiktionary,it,Italian,open,public,public,Italian Wiktionary,2012-02-24,
376,iuwiki,iu.wikipedia.org,wikipedia,iu,Inuktitut,open,public,public,Inuktitut Wikipedia,2012-02-24,
377,iuwiktionary,iu.wiktionary.org,wiktionary,iu,Inuktitut,open,public,public,Inuktitut Wiktionary,2012-02-24,
378,jamwiki,jam.wikipedia.org,wikipedia,jam,Jamaican Creole English,open,public,public,Jamaican Patois Wikipedia,2016-04-29,
379,jawiki,ja.wikipedia.org,wikipedia,ja,Japanese,open,public,public,Japanese Wikipedia,2012-02-24,
380,jawikibooks,ja.wikibooks.org,wikibooks,ja,Japanese,open,public,public,Japanese Wikibooks,2012-02-24,
381,jawikinews,ja.wikinews.org,wikinews,ja,Japanese,open,public,public,Japanese Wikinews,2012-02-24,
382,jawikiquote,ja.wikiquote.org,wikiquote,ja,Japanese,open,public,public,Japanese Wikiquote,2012-02-24,
383,jawikisource,ja.wikisource.org,wikisource,ja,Japanese,open,public,public,Japanese Wikisource,2012-02-24,
384,jawikiversity,ja.wikiversity.org,wikiversity,ja,Japanese,open,public,public,Japanese Wikiversity,2012-05-08,
385,jawikivoyage,ja.wikivoyage.org,wikivoyage,ja,Japanese,open,public,public,Japanese Wikivoyage,2020-08-27,
386,jawiktionary,ja.wiktionary.org,wiktionary,ja,Japanese,open,public,public,Japanese Wiktionary,2012-02-24,
387,jbowiki,jbo.wikipedia.org,wikipedia,jbo,Lojban,open,public,public,Lojban Wikipedia,2012-02-24,
388,jbowiktionary,jbo.wiktionary.org,wiktionary,jbo,Lojban,open,public,public,Lojban Wiktionary,2012-02-24,
389,jvwiki,jv.wikipedia.org,wikipedia,jv,Javanese,open,public,public,Javanese Wikipedia,2012-02-24,
390,jvwikisource,jv.wikisource.org,wikisource,jv,Javanese,open,public,public,Javanese Wikisource,2021-08-04,
391,jvwiktionary,jv.wiktionary.org,wiktionary,jv,Javanese,open,public,public,Javanese Wiktionary,2012-02-24,
392,kaawiki,kaa.wikipedia.org,wikipedia,kaa,Kara-Kalpak,open,public,public,Kara-Kalpak Wikipedia,2012-05-08,
393,kabwiki,kab.wikipedia.org,wikipedia,kab,Kabyle,open,public,public,Kabyle Wikipedia,2012-05-08,
394,kawiki,ka.wikipedia.org,wikipedia,ka,Georgian,open,public,public,Georgian Wikipedia,2012-02-24,
395,kawikibooks,ka.wikibooks.org,wikibooks,ka,Georgian,open,public,public,Georgian Wikibooks,2012-02-24,
396,kawikiquote,ka.wikiquote.org,wikiquote,ka,Georgian,open,public,public,Georgian Wikiquote,2012-02-24,
397,kawiktionary,ka.wiktionary.org,wiktionary,ka,Georgian,open,public,public,Georgian Wiktionary,2012-02-24,
398,kbdwiki,kbd.wikipedia.org,wikipedia,kbd,Kabardian,open,public,public,Kabardian Wikipedia,2012-05-08,
399,kbpwiki,kbp.wikipedia.org,wikipedia,kbp,Kabiye,open,public,public,Kabiyè Wikipedia,2017-06-22,
400,kcgwiki,kcg.wikipedia.org,wikipedia,kcg,Tyap,open,public,public,Tyap Wikipedia,2022-05-12,
401,kgwiki,kg.wikipedia.org,wikipedia,kg,Kongo,open,public,public,Kongo Wikipedia,2012-02-24,
402,kiwiki,ki.wikipedia.org,wikipedia,ki,Kikuyu,open,public,public,Kikuyu Wikipedia,2012-02-24,
403,kjwiki,kj.wikipedia.org,wikipedia,kj,Kuanyama,closed,public,public,Kuanyama Wikipedia,2012-02-24,2012-02-24
404,kkwiki,kk.wikipedia.org,wikipedia,kk,Kazakh,open,public,public,Kazakh Wikipedia,2012-02-24,
405,kkwikibooks,kk.wikibooks.org,wikibooks,kk,Kazakh,open,public,public,Kazakh Wikibooks,2012-02-24,
406,kkwikiquote,kk.wikiquote.org,wikiquote,kk,Kazakh,closed,public,public,Kazakh Wikiquote,2012-02-24,2012-02-24
407,kkwiktionary,kk.wiktionary.org,wiktionary,kk,Kazakh,open,public,public,Kazakh Wiktionary,2012-02-24,
408,klwiki,kl.wikipedia.org,wikipedia,kl,Kalaallisut,open,public,public,Kalaallisut Wikipedia,2012-02-24,
409,klwiktionary,kl.wiktionary.org,wiktionary,kl,Kalaallisut,open,public,public,Kalaallisut Wiktionary,2012-02-24,
410,kmwiki,km.wikipedia.org,wikipedia,km,Khmer,open,public,public,Khmer Wikipedia,2012-02-24,
411,kmwikibooks,km.wikibooks.org,wikibooks,km,Khmer,open,public,public,Khmer Wikibooks,2012-02-24,
412,kmwiktionary,km.wiktionary.org,wiktionary,km,Khmer,open,public,public,Khmer Wiktionary,2012-02-24,
413,knwiki,kn.wikipedia.org,wikipedia,kn,Kannada,open,public,public,Kannada Wikipedia,2012-02-24,
414,knwikibooks,kn.wikibooks.org,wikibooks,kn,Kannada,closed,public,public,Kannada Wikibooks,2012-02-24,2012-02-24
415,knwikiquote,kn.wikiquote.org,wikiquote,kn,Kannada,open,public,public,Kannada Wikiquote,2012-02-24,
416,knwikisource,kn.wikisource.org,wikisource,kn,Kannada,open,public,public,Kannada Wikisource,2012-02-24,
417,knwiktionary,kn.wiktionary.org,wiktionary,kn,Kannada,open,public,public,Kannada Wiktionary,2012-02-24,
418,koiwiki,koi.wikipedia.org,wikipedia,koi,Komi-Permyak,open,public,public,Komi-Permyak Wikipedia,2012-05-08,
419,kowiki,ko.wikipedia.org,wikipedia,ko,Korean,open,public,public,Korean Wikipedia,2012-02-24,
420,kowikibooks,ko.wikibooks.org,wikibooks,ko,Korean,open,public,public,Korean Wikibooks,2012-02-24,
421,kowikinews,ko.wikinews.org,wikinews,ko,Korean,open,public,public,Korean Wikinews,2012-05-08,
422,kowikiquote,ko.wikiquote.org,wikiquote,ko,Korean,open,public,public,Korean Wikiquote,2012-02-24,
423,kowikisource,ko.wikisource.org,wikisource,ko,Korean,open,public,public,Korean Wikisource,2012-02-24,
424,kowikiversity,ko.wikiversity.org,wikiversity,ko,Korean,open,public,public,Korean Wikiversity,2013-02-06,
425,kowiktionary,ko.wiktionary.org,wiktionary,ko,Korean,open,public,public,Korean Wiktionary,2012-02-24,
426,krcwiki,krc.wikipedia.org,wikipedia,krc,Karachay-Balkar,open,public,public,Karachay-Balkar Wikipedia,2012-05-08,
427,krwiki,kr.wikipedia.org,wikipedia,kr,Kanuri,closed,public,public,Kanuri Wikipedia,2012-02-24,2012-02-24
428,krwikiquote,kr.wikiquote.org,wikiquote,kr,Kanuri,closed,public,public,Kanuri Wikiquote,2012-02-24,2012-02-24
429,kshwiki,ksh.wikipedia.org,wikipedia,ksh,Colognian,open,public,public,Colognian Wikipedia,2012-02-24,
430,kswiki,ks.wikipedia.org,wikipedia,ks,Kashmiri,open,public,public,Kashmiri Wikipedia,2012-02-24,
431,kswikibooks,ks.wikibooks.org,wikibooks,ks,Kashmiri,closed,public,public,Kashmiri Wikibooks,2012-02-24,2012-02-24
432,kswikiquote,ks.wikiquote.org,wikiquote,ks,Kashmiri,closed,public,public,Kashmiri Wikiquote,2012-02-24,2012-02-24
433,kswiktionary,ks.wiktionary.org,wiktionary,ks,Kashmiri,open,public,public,Kashmiri Wiktionary,2012-02-24,
434,kuwiki,ku.wikipedia.org,wikipedia,ku,Kurdish,open,public,public,Kurdish Wikipedia,2012-02-24,
435,kuwikibooks,ku.wikibooks.org,wikibooks,ku,Kurdish,open,public,public,Kurdish Wikibooks,2012-02-24,
436,kuwikiquote,ku.wikiquote.org,wikiquote,ku,Kurdish,open,public,public,Kurdish Wikiquote,2012-02-24,
437,kuwiktionary,ku.wiktionary.org,wiktionary,ku,Kurdish,open,public,public,Kurdish Wiktionary,2012-02-24,
438,kvwiki,kv.wikipedia.org,wikipedia,kv,Komi,open,public,public,Komi Wikipedia,2012-02-24,
439,kwwiki,kw.wikipedia.org,wikipedia,kw,Cornish,open,public,public,Cornish Wikipedia,2012-02-24,
440,kwwikiquote,kw.wikiquote.org,wikiquote,kw,Cornish,closed,public,public,Cornish Wikiquote,2012-02-24,2012-02-24
441,kwwiktionary,kw.wiktionary.org,wiktionary,kw,Cornish,open,public,public,Cornish Wiktionary,2012-02-24,
442,kywiki,ky.wikipedia.org,wikipedia,ky,Kyrgyz,open,public,public,Kyrgyz Wikipedia,2012-02-24,
443,kywikibooks,ky.wikibooks.org,wikibooks,ky,Kyrgyz,open,public,public,Kyrgyz Wikibooks,2012-02-24,
444,kywikiquote,ky.wikiquote.org,wikiquote,ky,Kyrgyz,open,public,public,Kyrgyz Wikiquote,2012-02-24,
445,kywiktionary,ky.wiktionary.org,wiktionary,ky,Kyrgyz,open,public,public,Kyrgyz Wiktionary,2012-02-24,
446,ladwiki,lad.wikipedia.org,wikipedia,lad,Ladino,open,public,public,Ladino Wikipedia,2012-02-24,
447,lawiki,la.wikipedia.org,wikipedia,la,Latin,open,public,public,Latin Wikipedia,2012-02-24,
448,lawikibooks,la.wikibooks.org,wikibooks,la,Latin,open,public,public,Latin Wikibooks,2012-02-24,
449,lawikiquote,la.wikiquote.org,wikiquote,la,Latin,open,public,public,Latin Wikiquote,2012-02-24,
450,lawikisource,la.wikisource.org,wikisource,la,Latin,open,public,public,Latin Wikisource,2012-02-24,
451,lawiktionary,la.wiktionary.org,wiktionary,la,Latin,open,public,public,Latin Wiktionary,2012-02-24,
452,lbewiki,lbe.wikipedia.org,wikipedia,lbe,Lak,open,public,public,Laki Wikipedia,2012-02-24,
453,lbwiki,lb.wikipedia.org,wikipedia,lb,Luxembourgish,open,public,public,Luxembourgish Wikipedia,2012-02-24,
454,lbwikibooks,lb.wikibooks.org,wikibooks,lb,Luxembourgish,closed,public,public,Luxembourgish Wikibooks,2012-02-24,2012-02-24
455,lbwikiquote,lb.wikiquote.org,wikiquote,lb,Luxembourgish,closed,public,public,Luxembourgish Wikiquote,2012-02-24,2012-02-24
456,lbwiktionary,lb.wiktionary.org,wiktionary,lb,Luxembourgish,open,public,public,Luxembourgish Wiktionary,2012-02-24,
457,lezwiki,lez.wikipedia.org,wikipedia,lez,Lezghian,open,public,public,Lezghian Wikipedia,2012-05-08,
458,lfnwiki,lfn.wikipedia.org,wikipedia,lfn,Lingua Franca Nova,open,public,public,Lingua Franca Nova Wikipedia,2017-12-26,
459,lgwiki,lg.wikipedia.org,wikipedia,lg,Ganda,open,public,public,Ganda Wikipedia,2012-02-24,
460,lijwiki,lij.wikipedia.org,wikipedia,lij,Ligurian,open,public,public,Ligurian Wikipedia,2012-02-24,
461,lijwikisource,lij.wikisource.org,wikisource,lij,Ligurian,open,public,public,Ligurian Wikisource,2020-07-10,
462,liwiki,li.wikipedia.org,wikipedia,li,Limburgish,open,public,public,Limburgish Wikipedia,2012-02-24,
463,liwikibooks,li.wikibooks.org,wikibooks,li,Limburgish,open,public,public,Limburgish Wikibooks,2012-05-08,
464,liwikinews,li.wikinews.org,wikinews,li,Limburgish,open,public,public,Limburgish Wikinews,2018-09-28,
465,liwikiquote,li.wikiquote.org,wikiquote,li,Limburgish,open,public,public,Limburgish Wikiquote,2012-05-08,
