database_code	dt	approach
euwiktionary	2004-01-29	min_ar_rev_dt
sswiktionary	2004-01-29	leart_ar_rev
ugwiktionary	2004-01-29	min_ar_rev_dt
nawiktionary	2004-01-29	min_rev_dt
snwiki	2004-01-29	min_ar_rev_dt
stwiktionary	2004-01-29	min_ar_rev_dt
suwiktionary	2004-01-29	min_ar_rev_dt
bhwiktionary	2004-01-29	min_ar_rev_dt
biwiktionary	2004-01-29	min_rev_dt
ttwiktionary	2004-01-29	min_rev_dt
tgwiktionary	2004-01-29	min_rev_dt
miwiktionary	2004-01-29	least_rev
tswiktionary	2004-01-29	min_ar_rev_dt
dzwiktionary	2004-01-29	min_rev_dt
tswiki	2004-01-29	min_rev_dt
bnwiktionary	2004-01-29	min_ar_rev_dt
swwiktionary	2004-01-29	min_rev_dt
mkwiktionary	2004-01-29	min_ar_rev_dt
bowiktionary	2004-01-29	leart_ar_rev
twwiktionary	2004-01-29	leart_ar_rev
fowiktionary	2004-01-29	leart_ar_rev
fjwiktionary	2004-01-29	min_ar_rev_dt
urwiktionary	2004-01-29	min_rev_dt
tkwiktionary	2004-01-29	min_rev_dt
sawiktionary	2004-01-29	min_ar_rev_dt
newiktionary	2004-01-29	min_rev_dt
hywiktionary	2004-01-29	min_rev_dt
mnwiktionary	2004-01-29	min_ar_rev_dt
sdwiktionary	2004-01-29	min_rev_dt
lvwiktionary	2004-01-29	min_ar_rev_dt
sgwiki	2004-01-29	min_rev_dt
tiwiktionary	2004-01-29	min_rev_dt
sgwiktionary	2004-01-29	min_ar_rev_dt
tiwiki	2004-01-29	min_rev_dt
smwiktionary	2004-01-29	min_rev_dt
abwiktionary	2004-01-29	min_ar_rev_dt
aswiktionary	2004-01-29	min_ar_rev_dt
hawiktionary	2004-01-29	min_ar_rev_dt
aawiktionary	2004-01-29	min_ar_rev_dt
azwiktionary	2004-01-29	min_rev_dt
uzwiktionary	2004-01-29	min_rev_dt
smwiki	2004-01-29	min_rev_dt
mrwiktionary	2004-01-29	min_ar_rev_dt
zuwiktionary	2004-01-29	min_rev_dt
omwiktionary	2004-01-29	min_ar_rev_dt
aywiktionary	2004-01-29	min_rev_dt
siwiktionary	2004-01-29	leart_ar_rev
ndswiktionary	2004-01-29	min_ar_rev_dt
guwiktionary	2004-01-29	min_rev_dt
tewiktionary	2004-01-29	min_ar_rev_dt
gnwiktionary	2004-01-29	min_ar_rev_dt
kuwikibooks	2004-02-01	min_ar_rev_dt
kuwikiquote	2004-02-01	min_ar_rev_dt
dawikisource	2004-02-06	min_ar_rev_dt
kowikisource	2004-02-08	least_rev
elwikisource	2004-02-16	min_rev_dt
etwikisource	2004-02-18	min_rev_dt
plwikisource	2004-02-21	min_ar_rev_dt
gawiktionary	2004-02-22	min_rev_dt
rwwiktionary	2004-02-22	min_rev_dt
aawiki	2004-02-24	min_ar_rev_dt
cswikiquote	2004-03-10	min_rev_dt
arwikisource	2004-03-25	min_rev_dt
scnwiki	2004-03-26	min_ar_rev_dt
itwikinews	2004-04-01	min_rev_dt
csbwiki	2004-04-01	least_rev
iowiki	2004-04-04	leart_ar_rev
iowiktionary	2004-04-04	min_rev_dt
tpiwiktionary	2004-04-04	leart_ar_rev
tpiwiki	2004-04-04	min_ar_rev_dt
scwiki	2004-04-10	leart_ar_rev
scwiktionary	2004-04-10	min_ar_rev_dt
ruwikinews	2004-04-13	min_rev_dt
fiwikisource	2004-04-16	min_rev_dt
csbwiktionary	2004-05-15	min_ar_rev_dt
nowikisource	2004-05-22	min_ar_rev_dt
hrwikisource	2004-05-24	least_rev
roa_rupwiki	2004-05-26	min_ar_rev_dt
chrwiki	2004-05-26	least_rev
zh_min_nanwiki	2004-05-28	min_ar_rev_dt
ruwikibooks	2004-05-28	min_ar_rev_dt
nywiki	2004-05-31	min_rev_dt
guwikiquote	2004-05-31	min_rev_dt
knwikisource	2004-05-31	min_rev_dt
chywiki	2004-05-31	min_rev_dt
chrwiktionary	2004-06-05	leart_ar_rev
kwwiki	2004-06-11	min_rev_dt
kwwiktionary	2004-06-13	min_rev_dt
brwiki	2004-06-23	min_rev_dt
newikibooks	2004-06-29	min_rev_dt
idwikiquote	2004-07-06	min_rev_dt
cywikisource	2004-07-14	min_rev_dt
plwikiquote	2004-07-17	min_rev_dt
itwikiquote	2004-07-17	min_ar_rev_dt
nlwikiquote	2004-07-18	min_rev_dt
bgwikiquote	2004-07-18	min_rev_dt
zhwikiquote	2004-07-19	least_rev
nowikiquote	2004-07-19	min_ar_rev_dt
tawikiquote	2004-07-20	least_rev
astwiki	2004-07-20	min_rev_dt
sewiki	2004-07-20	min_rev_dt
jawikiquote	2004-07-21	min_rev_dt
lbwiki	2004-07-21	least_rev
anwiki	2004-07-21	min_rev_dt
eowikibooks	2004-07-22	min_rev_dt
chwiktionary	2004-07-22	min_rev_dt
eswikiquote	2004-07-23	least_rev
svwikibooks	2004-07-23	min_ar_rev_dt
lbwiktionary	2004-07-24	min_ar_rev_dt
brwiktionary	2004-07-24	min_ar_rev_dt
eewiki	2004-07-26	least_rev
elwikiquote	2004-07-26	min_rev_dt
etwikibooks	2004-07-26	min_ar_rev_dt
mtwiki	2004-07-26	least_rev
nowikibooks	2004-07-27	min_rev_dt
svwikiquote	2004-07-27	min_rev_dt
pawikibooks	2004-07-27	least_rev
dawikibooks	2004-07-27	min_rev_dt
urwikibooks	2004-07-28	min_rev_dt
kswikibooks	2004-07-28	least_rev
arcwiki	2004-07-28	least_rev
slwikibooks	2004-07-28	least_rev
gawikibooks	2004-07-28	least_rev
fawikibooks	2004-07-29	min_rev_dt
chwiki	2004-07-29	min_rev_dt
zawiki	2004-07-29	min_rev_dt
elwikibooks	2004-07-29	least_rev
kowikibooks	2004-07-30	min_ar_rev_dt
bgwikibooks	2004-07-30	min_rev_dt
srwikibooks	2004-07-31	min_ar_rev_dt
idwikibooks	2004-07-31	min_rev_dt
nnwiki	2004-07-31	min_rev_dt
srwikiquote	2004-07-31	min_rev_dt
zuwikibooks	2004-07-31	least_rev
aswikibooks	2004-08-01	min_rev_dt
ruwikiquote	2004-08-01	min_ar_rev_dt
iswikibooks	2004-08-01	min_rev_dt
rowikiquote	2004-08-01	min_rev_dt
rowikibooks	2004-08-02	min_ar_rev_dt
akwiki	2004-08-02	min_ar_rev_dt
euwikibooks	2004-08-03	min_rev_dt
simplewikiquote	2004-08-04	least_rev
krwiki	2004-08-05	min_ar_rev_dt
fiwikiquote	2004-08-05	least_rev
fiwikibooks	2004-08-05	min_ar_rev_dt
bowikibooks	2004-08-05	min_ar_rev_dt
ptwikiquote	2004-08-06	min_rev_dt
cswikibooks	2004-08-06	min_ar_rev_dt
cswikisource	2004-08-06	min_rev_dt
iewiki	2004-08-06	min_rev_dt
swwikibooks	2004-08-07	min_rev_dt
trwikibooks	2004-08-07	min_ar_rev_dt
nahwikibooks	2004-08-08	min_rev_dt
ltwikibooks	2004-08-08	min_rev_dt
jbowiki	2004-08-08	least_rev
ltwikiquote	2004-08-08	min_rev_dt
kiwiki	2004-08-08	min_rev_dt
sawikibooks	2004-08-08	min_rev_dt
mlwikibooks	2004-08-09	min_rev_dt
dawikiquote	2004-08-09	min_rev_dt
tlwikibooks	2004-08-09	min_rev_dt
huwikibooks	2004-08-10	min_rev_dt
hrwikibooks	2004-08-10	min_rev_dt
bnwikibooks	2004-08-10	min_rev_dt
srwikisource	2004-08-11	min_ar_rev_dt
arwikibooks	2004-08-12	min_rev_dt
astwiktionary	2004-08-12	min_ar_rev_dt
cawikinews	2004-08-13	min_rev_dt
tewikibooks	2004-08-13	min_rev_dt
aawikibooks	2004-08-13	min_rev_dt
afwikibooks	2004-08-15	min_rev_dt
mrwikibooks	2004-08-15	min_rev_dt
cowikibooks	2004-08-17	least_rev
lvwikibooks	2004-08-17	min_rev_dt
tawikibooks	2004-08-18	min_rev_dt
ukwikibooks	2004-08-18	min_rev_dt
ukwikiquote	2004-08-18	min_rev_dt
ndswikibooks	2004-08-20	min_rev_dt
viwikisource	2004-08-21	min_rev_dt
lnwikibooks	2004-08-21	min_ar_rev_dt
thwikiquote	2004-08-22	min_rev_dt
thwikibooks	2004-08-22	min_rev_dt
gawikiquote	2004-08-23	min_rev_dt
iewiktionary	2004-08-23	min_rev_dt
knwikibooks	2004-08-24	min_rev_dt
eowikiquote	2004-08-24	min_ar_rev_dt
fawikiquote	2004-08-24	min_rev_dt
mswikibooks	2004-08-24	least_rev
muswiki	2004-08-26	least_rev
dvwiki	2004-08-28	min_rev_dt
avwiki	2004-08-28	least_rev
lgwiki	2004-08-28	min_rev_dt
lbwikiquote	2004-08-28	least_rev
lbwikibooks	2004-08-28	min_rev_dt
guwikibooks	2004-08-28	min_rev_dt
nvwiki	2004-08-28	min_rev_dt
kgwiki	2004-08-28	least_rev
igwiki	2004-08-28	min_rev_dt
iswikiquote	2004-08-28	min_rev_dt
vewiki	2004-08-28	min_rev_dt
ffwiki	2004-08-28	least_rev
bmwiki	2004-08-28	least_rev
mhwiki	2004-08-29	least_rev
htwiki	2004-08-29	min_rev_dt
iiwiki	2004-08-29	min_rev_dt
cewiki	2004-08-29	min_ar_rev_dt
liwiki	2004-08-29	min_rev_dt
kjwiki	2004-08-29	min_rev_dt
cvwiki	2004-08-29	least_rev
ngwiki	2004-08-29	min_ar_rev_dt
piwiki	2004-08-29	min_rev_dt
kvwiki	2004-08-29	min_rev_dt
howiki	2004-08-29	min_rev_dt
hzwiki	2004-08-29	min_rev_dt
suwikiquote	2004-09-02	min_rev_dt
sqwikibooks	2004-09-02	min_rev_dt
suwikibooks	2004-09-02	least_rev
yowikibooks	2004-09-02	min_rev_dt
pswikibooks	2004-09-03	min_rev_dt
vowikibooks	2004-09-04	least_rev
huwikiquote	2004-09-04	min_rev_dt
mkwikibooks	2004-09-05	min_rev_dt
hewikinews	2004-09-06	min_rev_dt
nawikiquote	2004-09-06	leart_ar_rev
cywikibooks	2004-09-06	min_ar_rev_dt
anwiktionary	2004-09-06	min_ar_rev_dt
kswikiquote	2004-09-09	least_rev
rmwikibooks	2004-09-09	least_rev
roa_rupwiktionary	2004-09-12	least_rev
kmwikibooks	2004-09-14	min_rev_dt
kawikibooks	2004-09-14	least_rev
mtwiktionary	2004-09-15	min_rev_dt
sewikibooks	2004-09-15	min_rev_dt
gnwikibooks	2004-09-17	min_ar_rev_dt
mywikibooks	2004-09-20	least_rev
ocwikibooks	2004-09-22	min_rev_dt
chowiki	2004-09-22	min_rev_dt
hawwiki	2004-09-22	min_rev_dt
zh_min_nanwiktionary	2004-09-23	least_rev
hywikibooks	2004-09-24	min_ar_rev_dt
biwikibooks	2004-09-25	min_rev_dt
hrwikiquote	2004-09-25	leart_ar_rev
nnwiktionary	2004-09-25	min_rev_dt
iewikibooks	2004-09-26	min_rev_dt
knwikiquote	2004-09-27	least_rev
arwikiquote	2004-09-30	least_rev
trwikiquote	2004-10-01	min_rev_dt
skwikiquote	2004-10-04	min_rev_dt
iawikibooks	2004-10-05	min_rev_dt
kywikibooks	2004-10-05	min_rev_dt
lawikiquote	2004-10-06	min_rev_dt
siwikibooks	2004-10-08	least_rev
bswikibooks	2004-10-10	min_rev_dt
amwikiquote	2004-10-11	min_rev_dt
bawikibooks	2004-10-12	min_ar_rev_dt
scnwiktionary	2004-10-12	least_rev
ugwikiquote	2004-10-14	least_rev
angwiki	2004-10-14	min_rev_dt
ttwikibooks	2004-10-14	min_ar_rev_dt
ttwikiquote	2004-10-14	min_rev_dt
kowikiquote	2004-10-14	min_ar_rev_dt
chwikibooks	2004-10-18	least_rev
sqwikiquote	2004-10-18	min_ar_rev_dt
gotwiki	2004-10-19	min_rev_dt
etwikiquote	2004-10-20	min_rev_dt
hywikiquote	2004-10-22	min_rev_dt
nawikibooks	2004-10-26	min_rev_dt
zawikiquote	2004-10-27	min_ar_rev_dt
gotwikibooks	2004-10-31	min_rev_dt
mrwikiquote	2004-11-05	min_rev_dt
nnwikiquote	2004-11-06	min_rev_dt
mnwikibooks	2004-11-07	min_rev_dt
angwiktionary	2004-11-08	min_rev_dt
enwikinews	2004-11-08	least_rev
aywikibooks	2004-11-10	min_rev_dt
urwikiquote	2004-11-10	min_rev_dt
quwikibooks	2004-11-12	min_rev_dt
mgwikibooks	2004-11-14	min_ar_rev_dt
cawikisource	2004-11-15	min_rev_dt
fywikibooks	2004-11-16	least_rev
astwikibooks	2004-11-16	least_rev
afwikiquote	2004-11-17	min_rev_dt
zawiktionary	2004-11-18	min_rev_dt
ukwikinews	2004-11-19	min_rev_dt
astwikiquote	2004-11-20	min_rev_dt
slwikiquote	2004-11-22	min_rev_dt
eswikiversity	2004-11-23	min_rev_dt
kwwikiquote	2004-11-23	least_rev
angwikiquote	2004-11-24	min_rev_dt
avwiktionary	2004-12-03	min_rev_dt
dewikinews	2004-12-03	min_ar_rev_dt
akwiktionary	2004-12-03	min_ar_rev_dt
crwiktionary	2004-12-03	min_ar_rev_dt
tumwiki	2004-12-03	min_rev_dt
bewikiquote	2004-12-04	min_rev_dt
azwikibooks	2004-12-05	min_rev_dt
dvwiktionary	2004-12-05	min_rev_dt
wowikiquote	2004-12-10	min_ar_rev_dt
uzwikibooks	2004-12-15	min_rev_dt
bewikibooks	2004-12-15	min_ar_rev_dt
tewikiquote	2004-12-16	least_rev
liwiktionary	2004-12-17	min_ar_rev_dt
vowikiquote	2004-12-17	min_ar_rev_dt
xhwikibooks	2004-12-20	min_rev_dt
fawikisource	2004-12-20	min_rev_dt
bswikiquote	2004-12-22	min_rev_dt
ptwikinews	2004-12-26	min_ar_rev_dt
krwikiquote	2004-12-28	least_rev
euwikiquote	2004-12-29	min_rev_dt
azwikiquote	2004-12-30	min_rev_dt
lmowiki	2004-12-31	min_rev_dt
tkwikibooks	2005-01-01	min_rev_dt
tkwikiquote	2005-01-01	min_rev_dt
akwikibooks	2005-01-01	least_rev
angwikibooks	2005-01-11	least_rev
wawikibooks	2005-01-11	min_rev_dt
miwikibooks	2005-01-11	min_ar_rev_dt
crwikiquote	2005-01-11	min_ar_rev_dt
piwiktionary	2005-01-15	least_rev
ndswikiquote	2005-01-15	min_rev_dt
kawikiquote	2005-01-16	min_rev_dt
cowikiquote	2005-01-20	min_rev_dt
jbowiktionary	2005-01-20	min_rev_dt
zawikibooks	2005-01-24	min_rev_dt
furwiki	2005-01-25	min_rev_dt
nlwikinews	2005-01-28	min_ar_rev_dt
svwikinews	2005-01-29	min_ar_rev_dt
eswikinews	2005-01-29	min_rev_dt
zh_min_nanwikibooks	2005-01-30	min_rev_dt
bgwikinews	2005-02-06	least_rev
zh_min_nanwikiquote	2005-02-07	least_rev
ukwikisource	2005-02-07	min_ar_rev_dt
tewikisource	2005-02-10	min_rev_dt
cywikiquote	2005-02-11	min_ar_rev_dt
uzwikiquote	2005-02-12	least_rev
kkwikibooks	2005-02-12	least_rev
kkwikiquote	2005-02-12	min_rev_dt
kywikiquote	2005-02-12	min_rev_dt
ugwikibooks	2005-02-12	least_rev
quwikiquote	2005-02-13	least_rev
mhwiktionary	2005-02-16	least_rev
cvwikibooks	2005-02-17	min_rev_dt
bmwikiquote	2005-02-18	min_rev_dt
bmwikibooks	2005-02-18	min_rev_dt
bmwiktionary	2005-02-18	min_rev_dt
plwikinews	2005-02-19	min_ar_rev_dt
oswiki	2005-02-28	min_rev_dt
skwikisource	2005-04-25	min_ar_rev_dt
srwikinews	2005-05-21	min_ar_rev_dt
fiu_vrowiki	2005-06-22	min_rev_dt
pamwiki	2005-06-22	min_rev_dt
cebwiki	2005-06-22	least_rev
kshwiki	2005-07-06	min_rev_dt
jawikinews	2005-07-14	min_rev_dt
napwiki	2005-09-25	min_rev_dt
ladwiki	2005-09-25	min_rev_dt
warwiki	2005-09-25	min_rev_dt
